date,subs,comedy,drama,show,gala,talkshow,gameshow,music
9/27/2022,7486,1,2,1,0,1,0,1
9/28/2022,6946,1,2,1,0,1,0,1
9/29/2022,7176,1,2,1,0,1,0,1
9/30/2022,8998,1,2,1,0,1,0,1
10/1/2022,9607,1,2,1,0,1,0,1
10/2/2022,9160,1,2,0,0,1,0,0
10/3/2022,7250,1,2,0,0,1,0,0
10/4/2022,7771,1,2,0,0,1,0,0
10/5/2022,8675,1,2,0,0,1,0,0
10/6/2022,8563,1,2,0,0,1,0,0
10/7/2022,8075,1,2,0,0,1,0,0
10/8/2022,8415,1,2,0,0,1,0,0
10/9/2022,8604,1,2,0,0,1,0,0
10/10/2022,7239,1,2,0,0,1,0,0
10/11/2022,8313,1,2,0,0,1,0,0
10/12/2022,8475,1,2,0,0,1,0,0
10/13/2022,8724,1,2,0,0,1,0,0
10/14/2022,7927,1,2,0,0,1,0,0
10/15/2022,8467,1,2,0,0,1,0,0
10/16/2022,9404,1,2,0,0,1,0,0
10/17/2022,7823,1,2,0,0,1,0,0
10/18/2022,8156,1,2,0,0,1,0,0
10/19/2022,8489,1,2,0,0,1,0,0
10/20/2022,8308,1,2,0,0,1,0,0
10/21/2022,8418,1,2,0,0,1,0,0
10/22/2022,8156,1,2,0,0,1,0,0
10/23/2022,7894,1,2,0,0,1,0,0
10/24/2022,7708,1,2,0,0,1,0,0
10/25/2022,8327,1,2,0,0,1,0,0
10/26/2022,8437,1,2,0,0,1,0,0
10/27/2022,8544,1,2,0,0,1,0,0
10/28/2022,8059,1,2,0,0,1,0,0
